Date	Close	Return(%)	Next_Date	Next_Close	Next_Return(%)
2026-01-19	4904.66	1.32	2026-01-20	4885.75	-0.39
2026-01-20	4885.75	-0.39	2026-01-21	4909.93	0.49
2026-01-21	4909.93	0.49	2026-01-22	4952.53	0.87
2026-01-22	4952.53	0.87	2026-01-23	4990.07	0.76
2026-01-23	4990.07	0.76	2026-01-26	4949.59	-0.81
2026-01-26	4949.59	-0.81	2026-01-27	5084.85	2.73
2026-01-27	5084.85	2.73	2026-01-28	5170.81	1.69
2026-01-28	5170.81	1.69	2026-01-29	5221.25	0.98
2026-01-29	5221.25	0.98	2026-01-30	5224.36	0.06
2026-01-30	5224.36	0.06	2026-02-02	4949.67	-5.26
